ID,EMPRESA_JUNIOR,FED,CLUSTER,FATURAMENTO,PORCENTAGEM_MEMBROS,N_PROJETOS,ACOES_COMPARTILHADAS,PARTICIPACAO,NPS,PROJETOS_IMPACTO
350,Edifique Jr,RN Júnior,3,70000,75,55,1,33,50,28
905,PRESERVARE,FEJEPAR,1,6700,70,15,2,66,13,2
213,Arq Jr. Projetos e Consultorias,FEJEMG,2,24800,100,28,10,75,8,8
910,EMVEP jr.,FEJESP,1,10000,73,25,7,33,60,15
339,Calculus Jr,UNIJr-BA,2,17370.78,60,24,1,75,1,1
342,ECOSSAM Junior,RioJunior,1,8303.89,67,25,2,33,35,9
362,Matriz Comunicação ,Concentro,3,29637.9,50,15,1,33,30,5
311,Engrena Soluções em Engenharia,Concentro,1,5000,74,12,2,75,40,9
354,Pulso Consultoria,RioJunior,5,151856.77,90,65,1,71,75,49
373,Quatro Elementos,RN Júnior,1,5500,48,5,1,37,50,3
357,INOVE Consultoria Júnior,FEJECE,1,2000,100,8,1,33,8,8
367,Consultec Jr - Projetos em Arquitetura e Engenharia Civil,FEJECE,5,170000,100,125,5,85,56,70
385,Propeq - Projeto e Pesquisa em Engenharia Química,FEJESP,2,42000,75,18,3,50,1,1
173,Uipi - Empresa Júnior de Design da UFSC,FEJESC,2,20900,100,15,1,50,50,8
379,Rastro Agência Jr.,FEJECE,1,11400,27,27,1,33,2,2
906,ENTRE Arquitetura ,Concentro,2,30503.28,80,5,1,33,43,3
396,I9 Engenharia Jr.,FEJEA,3,43000,80,50,4,100,1,1
391,Inova Consultoria Jr,FEJEMG,1,10000,75,10,1,76,60,6
421,Qualimentos Júnior,FEJESP,5,110000,80,120,3,48,70,100
432,PUC Júnior Consultoria,FEJESP,3,90000,63,18,2,33,1,1
370,EJCON - Empresa Junior de Consultoria,Maranhão Júnior,1,6500,75,7,1,60,1,2
1250,Performance Júnior,FEJESP,1,18819.8,75,13,1,33,1,1
365,OPTIMUS Jr. Controle e Automação,UNIJr-BA,1,14200,70,8,1,60,33,4
926,ENGAJ - Engenharia de Alimentos Jr.,FEJEMG,2,13085.35,75,20,19,55,50,10
208,Meta Consultoria,FEJEMG,2,51500,75,22,1,33,10,3
102,EPR Consultoria,FEJERS,5,370000,85,25,3,90,80,20
413,RH Consultoria Júnior - UFMG ,FEJEMG,1,12681.01,72,12,2,58,75,9
399,Enpro Júnior,Juniores,3,44556.47,92,22,3,90,50,11
610,Projeta Júnior,Juniores,2,27000,50,30,3,67,38,12
378,Multiconsultoria,RioJunior,1,48000,80,24,3,33,75,18
374,ECONOMUS CONSULTORIA JUNIOR,RioJunior,1,5000,50,3,1,50,50,2
390,Sigma Engenharia,FEJEA,2,20100,65,30,2,80,1,2
901,Desenvolve Consultoria Junior ,FEJEPAR,1,6000,70,12,1,33,20,4
1092,Apta Consultoria Jr,RN Júnior,1,6000,65,5,1,60,50,3
1242,Açafrão Jr.,FEJERS,1,25000,0,35,0,0,0,0
1156,Consflor Consultoria e Serviços Florestais,Pará Júnior,2,50000,50000,4,50000,50000,0,0
1255,Empazep jr,FEMTEJ,1,0,0,0,0,0,0,0
555,Singular,UNIJr-BA,1,4000,100,4,1,33,50,2
1055,Mutare Empresa Júnior de Relações Públicas,Goiás Júnior,1,4000,100,6,2,50,50,5
400,EJUR - Soluções Jurídicas,FEJESP,5,136000,72,80,3,70,65,52
526,CRIATIVA EJ ,FEMTEJ,S/N,0,0,0,0,0,0,0
372,IN Junior,RioJunior,3,65831.81,80,15,3,50,38,6
452,FEA júnior USP,FEJESP,5,655500,75,60,12,80,38,23
225,Cráton,Concentro,2,72000,100,36,2,80,1,18
405,Materiais Júnior,FEJESP,1,25000,80,20,5,50,11,3
76,UFMG Informática Júnior,FEJEMG,2,31000,27,15,1,60,70,11
312,TerGeo Consultoria Socioambiental,FEJEPAR,1,5200,60,13,3,60,30,4
448,Insight Consultoria,RioJunior,2,50000,100,40,2,33,80,32
79,Zetta Júnior,Juniores,5,134400,71,35,3,80,40,14
474,GTi Engenharia Jr,FEJECE,4,79738.62,85,31,3,75,50,16
1251,ICBjr,FEJESP,1,4000,100,12,2,60,60,8
461,Comp Júnior,FEJEMG,1,15000,70,10,2,80,8,3
445,Minas Júnior Consultoria Mineral,FEJEMG,2,39940,74,42,1,44,14,6
458,ACPE Consultoria Jr.,FEJEMG,3,62000,71,24,5,70,75,18
488,Conalimentos Jr,FEJECE,3,25226,92,25,4,70,20,5
451,Capital Júnior,Acre Júnior,1,0,0,0,0,0,0,0
